id,product_name,category,price,original_price,image,rating,ratingCount,description,brand
a60a72e1c8ed4dc087740ec75779fa0b,acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,Laptop,58990,94999,https://rukminim2.flixcart.com/image/704/844/xif0q/computer/s/y/3/-original-imahg2mgmqdzryh5.jpeg?q=20&crop=false,4.3,2582 Ratings & 306 Reviews,['Intel Core i5 Processor (12th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Acer Care Center Acer Product Registration Nitro Sense Quick Access' '1 Year International Travelers Warranty (ITW)'],acer
5a95fc99d38e474e9a7dd5302e6d43b0,ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,Laptop,89990,107990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2b_NgH7yW-AtPQXxLgweUKC4zeien2WjZVA&s,4.6,105 Ratings & 14 Reviews,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],ASUS
a56bb5a07f6449fc8363a53debca4f43,HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s-ey1508AU Thin and Light Laptop,Laptop,27123,43631,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRe0yxu4wDqtm3Vcs4o7MFKjyHcsYibZNTzKw&s,4.1,783 Ratings & 76 Reviews,['AMD Ryzen 3 Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 mm) Display' 'Microsoft Office 2021 Home and Student HP Documentation HP BIOS recovery HP Smart' '1 Year Onsite Warranty'],HP
e5b5aad6754b4aeea6e7a54f9d4eee4e,ASUS VivoBook 15 (2022) Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) X515EA-EJ502WS T...,Laptop,47990,72990,"https://m.media-amazon.com/images/I/81aAFpuI1UL._AC_UF1000,1000_QL80_.jpg",4.3,3382 Ratings & 299 Reviews,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD|256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],ASUS
3f865646fa524ae68846dd3e027adfeb,realme Book(Slim) Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...,Laptop,59990,69999,https://m.media-amazon.com/images/I/81XN9YeVW7L.jpg,4.4,6702 Ratings & 889 Reviews,['Powered by 11th Gen Intel Evo Core i5 Processor' 'Microsoft Office 2019 Home & Student Included' 'Stylish Thin and Light Laptop without Optical Disk Drive' 'Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Microsoft Office 2019 Home & Student' '1 Year Domestic Warranty'],realme
9cbd4a38188842b383675333cdb13ed5,MSI GF63 Thin Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,Laptop,51990,64990,https://i01.appmifile.com/webfile/globalimg/minotebooks/assets/img/notebook-14/battery.jpg,4.4,345 Ratings & 34 Reviews,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Windows 11 Home MSI Center CoolerBoost' '2 Year On-Site & Carry-In Warranty'],MSI
a29e1a398b4b409283903a1e1dd128e5,ASUS Vivobook 15 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ382WS X515JA Laptop,Laptop,33849,45990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwxCti3C0_Dwv8w3l9SYQY4yplPRAiexbJ_g&s,4.2,137 Ratings & 13 Reviews,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Windows 11 Microsoft Office H&S 2021 1 Year McAfee' '1 Year Onsite Warranty'],ASUS
3d81f94813134fe5a74d3d0603bcb026,Infinix INBook X2 Plus Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Lapto...,Laptop,52990,79990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVat4wZXxgJAGIwDL4BdLs9aPugeR3kpA9Nw&s,4.8,13 Ratings & 3 Reviews,['Intel Core i7 Processor (11th Gen)' '16 GB LPDDR4X RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],Infinix
b2ed356c6e224c6a871aa4c3acfc2abb,HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,Laptop,50990,58647,"https://m.media-amazon.com/images/I/41MG6R0JPGL._AC_UF1000,1000_QL80_.jpg",4.3,845 Ratings & 71 Reviews,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home 2019 & Office 365 HP Documentation HP SSRM HP Smart' '1 Year Onsite Warranty'],HP
4f2b9c4d8a1e4b0d9234e7f2ab91c001,boAt Airdopes 141 TWS Earbuds,Electronics,1299,2990,https://images-cdn.ubuy.ae/6623f986282ecd1b1b44c19b-boat-airdopes-141-anc-tws-earbuds.jpg,4.3,52300,"Powerful bass, ENx noise cancellation for calls, 42-hour battery backup, ASAP fast charging support.",boAt
8c3d1a9f7b6e4c2bbf91a3d5ef72a002,OnePlus Nord Buds 2,Electronics,2999,3299,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwS2sKmNhoiGjFZlR9tvrHDdPV31fm0m_j2g&s,4.4,31200,"25 dB active noise cancellation, deep bass sound, dual microphones and up to 36 hours of total battery life.",OnePlus
a91e4c2b7d8f493ea2b01f5c9e37b003,Realme Buds Air 3 Neo,Electronics,1799,3499,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7h1EEGxP4XvQWzUJt472ndR50pUKJKjQf9w&s,4.2,18400,"AI environmental noise cancellation for clear calls, 30-hour playback, dynamic bass and Type-C fast charging.",Realme
c7e2b9a4d51f4f25a839c6de1b28a004,JBL Wave Buds,Electronics,4199,6999,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQMi43l_hz-dt9GRKGPneeDnv6DUxuAOfRVQ&s,4.3,8900,"JBL deep bass sound, ergonomic in-ear design, 32-hour battery life and smart ambient awareness modes.",JBL
d4b8f1a27c3e497b9ac3d2f5e918e005,Sony WF-C700N Noise Cancelling Earbuds,Electronics,7499,9990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTOPFIzXbGefB8NWZvWqk39DGMA6_s1sB1bvQ&s,4.5,5120,"Active noise cancellation with immersive sound, lightweight comfortable fit, USB-C fast charging and long battery backup.",Sony
e2c1f7b94d6a4b9a92fd3a7c5e11f006,boAt Rockerz 550 Over-Ear Bluetooth Headphones,Electronics,1999,4999,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDkMRrLn6Uq3gt23mhBPPj8BNM00Z594E4dw&s,4.3,27800,"50 mm dynamic drivers with powerful bass, soft cushioned earcups, up to 20 hours of playback and wired/wireless modes.",boAt
f91d3c2ea5b84e0f9a5d7c2e8f31a007,Sony WH-CH520 Wireless Headphones,Electronics,4499,6990,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwHHvibfk64dqNIV3EdIbPihaqJZf8RpBBsw&s,4.4,12600,"Up to 50 hours of battery life, multipoint Bluetooth connection, lightweight on-ear design and balanced audio.",Sony
b6e4a9f2d71c4c9c82a9f3d5b27e8008,JBL Tune 510BT,Electronics,2999,4999,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDn9rrYHI1hQhJltXJtqEv2lG3QzA5rj3Fkg&s,4.2,19300,"JBL Pure Bass sound, 40-hour battery life, quick charge support and foldable portable design.",JBL
a3f7d2c9e51b47f3b18d9e2a7c54c009,OnePlus Bullets Wireless Z2 Neckband,Electronics,1799,2299,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8lyxRkhncd0XTeOYHJvhL4ji3RXs34mMdzQ&s,4.4,42700,"12.4 mm dynamic drivers for powerful bass, IP55 water resistance, up to 30 hours of playback and fast charging support.",OnePlus
c5a9e1d7b23f4a8c9f4e2d1c7a65b010,Zebronics Thunder Wired/Wireless Headphones,Electronics,799,1599,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8aTS51VHGgQBi10gsP50aGjdux14khcSW_w&s,4.1,14200,"RGB lighting with over-ear design, FM radio and SD card support, soft cushioned earcups and powerful bass output.",Zebronics
